,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,구_동,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
276,2021,1,D,발달상권,2120204,강남구 역삼동,르네상스호텔사거리,CS100010,커피-음료,1838620976,226759,87,14,18,18,18,15,18,8,6,0,17,48,24,9,1,52,49,0,21,38,23,13,6,1589677388,248943588,334025145,325790477,326344951,280051189,323465626,139773180,109170408,565802,318360742,889716066,441375052,173359593,15243721,733764531,691811043,1065365,295197676,534939235,325175266,181413615,87784420,204534,22225,41303,43823,43558,36277,39573,12528,9697,38,60115,101244,46773,17296,1293,98504,93664,163,46710,74033,40827,21367,9069,76
277,2021,2,D,발달상권,2120204,강남구 역삼동,르네상스호텔사거리,CS100010,커피-음료,2376454145,284069,86,14,16,19,17,18,17,8,6,0,16,53,21,9,1,54,46,0,21,38,21,14,6,2053565000,322889145,388470344,449651378,399046447,417750378,398646453,180634424,142254721,2195075,382781996,1252057389,507744697,201918083,29756905,1007176019,855300788,2942656,387038070,703695167,396931949,256746903,115122051,254501,29568,50756,53129,49411,51442,49763,16835,12733,34,68978,138596,53908,20956,1597,128861,115889,263,55943,94963,49227,32013,12341,80
278,2021,3,D,발달상권,2120204,강남구 역삼동,르네상스호텔사거리,CS100010,커피-음료,2173314649,269739,90,10,16,17,17,20,19,6,5,0,19,51,20,9,1,53,47,0,22,38,22,12,6,1954999755,218314894,357094703,378417468,373285418,441458592,404743574,119353991,98960903,7700000,420725384,1115102684,432153169,185030381,12603031,897072739,783912150,6261453,372365956,632950912,366860471,206266154,96279940,249902,19837,46043,48040,48564,56635,50620,11510,8327,69,77527,126071,48024,17400,648,122648,107498,347,55964,90076,44964,27249,11546,85
279,2021,4,D,발달상권,2120204,강남구 역삼동,르네상스호텔사거리,CS100010,커피-음료,2994076666,326792,84,16,14,19,17,16,18,9,7,1,17,49,21,10,2,55,45,1,24,35,20,13,7,2513303730,480772936,418574378,575131285,505474142,484463185,529660740,272293178,208479758,20895920,516863371,1469652591,627831168,290818660,68014956,1225921146,998055017,20356119,543247751,767042874,451023001,286408516,155897901,291010,35782,50075,62899,59678,57006,61352,20040,15742,318,84928,153988,63479,22587,1492,145435,129371,866,76239,100449,51524,31423,14302,94
280,2021,1,A,골목상권,2110969,강남구 역삼동,베르사이유1아파트,CS100010,커피-음료,165408574,14886,95,5,39,14,18,12,12,5,0,0,16,33,16,35,0,68,32,0,17,24,49,9,2,156471853,8936721,63827443,23315884,30275690,19377275,19675561,8936721,0,0,27147358,54011088,25584884,58304369,360875,103104698,48483506,0,25498047,35732790,74237548,13500094,2619725,13849,1037,2503,2887,3474,2492,2493,1037,0,0,3834,6213,3046,1759,34,7308,6383,0,3192,4973,3609,1556,361,3
281,2021,2,A,골목상권,2110969,강남구 역삼동,베르사이유1아파트,CS100010,커피-음료,139263320,18359,94,6,18,21,18,18,18,6,0,0,20,44,22,13,2,54,46,0,23,35,26,14,3,130300096,8963224,25334526,28956241,25470981,25460719,25077629,8963224,0,0,27506541,61169487,30280764,17848069,2458459,65875632,55739791,104879,28081684,42094446,30975447,16549484,3809483,17287,1072,3349,3722,3225,3563,3428,1072,0,0,4138,7602,4138,2233,248,8729,7872,23,4387,5898,3755,1952,587,3
282,2021,3,A,골목상권,2110969,강남구 역삼동,베르사이유1아파트,CS100010,커피-음료,97846304,13285,94,6,17,16,18,24,20,6,0,0,20,49,21,10,1,54,46,0,25,32,25,14,3,92381310,5464994,16225825,15931488,17219358,23051994,19952645,5464994,0,0,19067713,47621578,20501062,9810151,845800,44137447,38218313,186076,20204468,26718481,20941441,11499495,2805801,12506,779,2165,2289,2549,3022,2481,779,0,0,2955,6024,2954,1285,67,6023,5887,34,3327,4093,2740,1331,383,3
283,2021,4,A,골목상권,2110969,강남구 역삼동,베르사이유1아파트,CS100010,커피-음료,12142867,1545,100,0,6,24,25,25,21,0,0,0,25,47,17,11,0,55,45,1,31,25,25,18,1,12142867,0,665363,2939437,2987365,3036421,2514281,0,0,0,2993568,5745800,2050219,1353280,0,6112314,4947929,146605,3405190,2704304,2747158,1972405,84580,1545,0,124,361,350,406,304,0,0,0,485,620,293,147,0,756,677,23,440,474,293,192,11,1
284,2021,1,D,발달상권,2120187,강남구 역삼동,신논현역,CS100010,커피-음료,4113470938,613444,75,25,14,15,16,14,16,15,10,1,13,29,26,25,6,44,56,2,41,30,14,10,3,3073934647,1039536291,585802339,618767291,650888035,569097794,649379188,615518633,424017658,25244663,544580519,1208702956,1066855424,1038328855,229758521,1659108643,2093821610,57994308,1534681611,1129210243,525919999,380622639,124501463,481140,132304,94327,99246,103307,88628,95632,79908,52396,2734,129657,183671,150399,126931,20052,273227,308597,9396,235331,181125,81162,58004,16805,175
285,2021,2,D,발달상권,2120187,강남구 역삼동,신논현역,CS100010,커피-음료,5093819230,783163,74,26,14,15,15,14,17,16,11,1,13,29,25,25,8,44,56,2,41,30,14,10,3,3764017272,1329801958,697973272,748353004,736819036,734328229,846543731,787450840,542351118,65921644,673039006,1464021414,1259055059,1250247500,381534607,2049987154,2628593460,83996060,1922905262,1419643818,650102945,453530440,148402092,611798,171365,118383,123051,118681,120981,130702,103178,68187,6518,161633,231745,185725,161574,35968,339390,402900,13803,308250,225468,98394,73430,22947,184
