,강남구,보증금,월세
533,강남구 대치동,81273,8127
534,강남구 대치동,15000,900
535,강남구 대치동,15000,750
536,강남구 대치동,7000,370
537,강남구 대치동,5000,470
538,강남구 대치동,10000,460
539,강남구 대치동,12000,710
540,강남구 대치동,5000,370
541,강남구 대치동,3000,280
542,강남구 대치동,5000,310
543,강남구 대치동,3000,350
544,강남구 대치동,20000,1000
545,강남구 대치동,2000,120
546,강남구 대치동,5000,300
547,강남구 대치동,5000,270
548,강남구 대치동,5000,258
549,강남구 대치동,10000,460
550,강남구 대치동,3000,130
551,강남구 대치동,6000,380
552,강남구 대치동,36000,1800
553,강남구 대치동,4000,350
554,강남구 대치동,4000,200
555,강남구 대치동,5000,470
556,강남구 대치동,5000,470
557,강남구 대치동,5000,200
558,강남구 대치동,5000,400
559,강남구 대치동,3000,260
560,강남구 대치동,700,60
561,강남구 대치동,5000,250
562,강남구 대치동,5000,430
563,강남구 대치동,6000,480
564,강남구 대치동,10000,530
565,강남구 대치동,4000,250
566,강남구 대치동,3000,280
567,강남구 대치동,10000,750
568,강남구 대치동,6000,350
569,강남구 대치동,10000,880
570,강남구 대치동,10000,800
571,강남구 대치동,4000,300
572,강남구 대치동,3000,280
573,강남구 대치동,5000,400
574,강남구 대치동,12000,750
575,강남구 대치동,12000,500
576,강남구 대치동,4000,256
577,강남구 대치동,2000,250
578,강남구 대치동,15000,600
579,강남구 대치동,7000,450
580,강남구 대치동,6000,380
581,강남구 대치동,4000,300
582,강남구 대치동,5000,550
583,강남구 대치동,5000,350
584,강남구 대치동,10000,230
585,강남구 대치동,2500,210
586,강남구 대치동,3000,150
587,강남구 대치동,8000,700
588,강남구 대치동,5000,320
589,강남구 대치동,5000,340
590,강남구 대치동,5000,380
591,강남구 대치동,12000,600
592,강남구 대치동,5000,350
593,강남구 대치동,10000,952
594,강남구 대치동,25000,1800
595,강남구 대치동,3000,130
596,강남구 대치동,3000,210
597,강남구 대치동,7000,400
598,강남구 대치동,3000,360
599,강남구 대치동,7000,750
600,강남구 대치동,2000,190
601,강남구 대치동,5000,330
602,강남구 대치동,2000,165
603,강남구 대치동,12000,790
604,강남구 대치동,10000,550
605,강남구 대치동,24000,1500
606,강남구 대치동,20000,900
607,강남구 대치동,5000,350
608,강남구 대치동,36000,1800
609,강남구 대치동,3000,250
610,강남구 대치동,5000,320
611,강남구 대치동,3000,280
612,강남구 대치동,4800,290
613,강남구 대치동,5000,400
614,강남구 대치동,20000,1000
615,강남구 대치동,3200,160
616,강남구 대치동,4000,200
617,강남구 대치동,1500,130
618,강남구 대치동,4000,350
619,강남구 대치동,5000,500
620,강남구 대치동,5000,360
621,강남구 대치동,3000,200
622,강남구 대치동,2000,180
623,강남구 대치동,1000,99
624,강남구 대치동,7500,600
625,강남구 대치동,12000,790
626,강남구 대치동,5000,470
627,강남구 대치동,5000,330
628,강남구 대치동,6000,380
629,강남구 대치동,2000,228
630,강남구 대치동,5000,490
631,강남구 대치동,8000,390
632,강남구 대치동,10000,952
633,강남구 대치동,15000,430
634,강남구 대치동,3000,200
635,강남구 대치동,1000,135
636,강남구 대치동,10000,460
637,강남구 대치동,3000,220
638,강남구 대치동,4800,290
639,강남구 대치동,1500,130
640,강남구 대치동,3000,330
641,강남구 대치동,10000,460
642,강남구 대치동,10000,550
643,강남구 대치동,3000,210
644,강남구 대치동,20000,1000
645,강남구 대치동,5000,300
646,강남구 대치동,1500,70
647,강남구 대치동,5000,545
648,강남구 대치동,4000,250
649,강남구 대치동,2000,140
650,강남구 대치동,4800,290
651,강남구 대치동,10000,900
652,강남구 대치동,1000,150
653,강남구 대치동,3000,370
654,강남구 대치동,10000,700
655,강남구 대치동,2000,200
656,강남구 대치동,3000,330
657,강남구 대치동,3000,246
658,강남구 대치동,2000,200
659,강남구 대치동,2000,230
660,강남구 대치동,10000,800
661,강남구 대치동,10000,530
662,강남구 대치동,1500,130
663,강남구 대치동,4000,274
664,강남구 대치동,3000,330
665,강남구 대치동,2000,251
666,강남구 대치동,5000,380
667,강남구 대치동,5500,268
